Age,Income
26,22923
24,27896
26,28286
29,25988
24,29193
24,32020
29,39430
27,30872
23,31287
26,29627
23,20406
23,29867
25,30301
19,42316
19,29038
23,31507
21,29826
25,24156
22,35714
20,33759
29,33955
24,25453
25,37013
20,22990
23,32934
25,40952
21,25047
26,27168
23,30498
24,27482
23,22246
30,30342
24,24688
21,32367
27,25402
21,37749
25,26083
19,28389
21,34067
25,23845
27,31137
25,36535
24,21962
24,30923
20,31299
22,33909
23,23815
28,23397
26,32609
19,31484
25,31252
23,31732
22,26599
26,31161
28,31465
27,26428
22,39328
24,32369
25,24043
27,33282
23,25126
24,33935
21,35792
21,25896
27,34816
29,32063
24,34110
28,39483
26,28773
23,26231
26,25552
29,25920
24,29614
29,31705
17,31383
27,34135
25,30065
24,37267
25,28676
19,43600
24,33128
26,25714
29,24645
23,32412
22,28882
23,33570
27,32366
25,29635
23,25766
26,22425
25,27767
27,34281
22,31070
24,23771
23,30865
20,31926
25,25580
25,30768
25,30291
24,24285
41,54197
42,56078
44,65231
44,64272
34,59853
36,60821
42,68943
42,55859
42,63829
55,58584
42,58476
44,67691
43,65777
42,65694
38,69138
43,60147
36,64773
39,57828
38,62269
40,59088
49,60678
32,64166
42,54272
33,74646
38,52957
44,51500
40,68106
35,65541
37,64368
42,64398
37,59914
40,53719
40,60530
37,55259
48,66825
42,58970
31,54221
40,57750
37,62890
43,56053
36,54244
39,61705
42,61714
43,56451
35,56702
38,61624
38,49863
37,50147
47,54970
41,58505
34,62176
43,70327
48,66003
44,58880
33,59866
38,52982
45,59870
37,57979
41,62259
43,54209
36,63635
39,70729
27,59238
35,62811
38,64831
35,57191
46,61568
34,60088
38,60683
40,54588
45,60171
34,63485
44,70158
40,66714
36,75072
41,54628
40,66106
37,61283
40,75328
38,54341
40,54121
42,55804
46,45132
35,56319
48,54686
32,61052
39,62392
42,73133
41,66652
37,55961
39,53711
38,63443
37,50758
43,72820
41,68256
37,56715
43,48008
41,69477
43,59198
42,68664
52,97409
57,105275
60,78811
60,94503
57,84794
63,86102
54,85260
59,83088
60,90388
62,83352
63,92163
54,89598
52,88088
66,82739
61,85385
56,96043
67,94007
60,82179
65,90794
60,96011
70,76644
68,94346
58,84699
64,94564
63,83893
66,75560
55,76979
63,90384
65,92077
51,82765
54,95108
49,76707
58,89471
63,80311
67,84785
60,90379
68,83116
53,86923
51,98050
59,85384
61,96685
59,80962
49,94238
59,101532
53,70226
63,83624
61,94616
55,88375
57,92969
54,85168
59,90692
64,88754
55,99342
62,92035
57,92700
56,86704
59,86099
54,86539
57,93155
54,86632
69,92318
60,106603
56,96968
61,87391
59,99609
58,86735
63,73695
63,81935
57,75033
57,87187
58,90147
48,103411
52,92615
66,88247
68,96635
58,72310
62,91884
61,96166
75,78171
65,99150
59,92707
55,86677
51,95062
61,108165
56,91454
52,91985
56,86325
54,83201
68,96642
64,83151
59,90572
67,86178
60,93831
55,92669
67,98300
62,85919
54,87841
59,82169
55,86445
53,93018
